State,Abbreviation,Male,Female,Pop_2024,Households_Median_Income,Families_Median_Income
Alabama,AL,2453419,2600834,5157699,62027,80385
Alaska,AK,385319,348652,740133,89336,108134
Arizona,AZ,3628694,3639481,7582384,76872,92100
Arkansas,AR,1495958,1536693,3088354,58773,74536
California,CA,19605882,19636903,39431263,96334,110108
Colorado,CO,2942568,2868206,5957493,92470,114822
Connecticut,CT,1765117,1833231,3675069,93760,120011
Delaware,DE,487585,518287,1051917,82855,102219
District of Columbia,DC,320001,352078,702250,106287,150381
Florida,FL,10773620,11155261,23372215,71711,86127
Georgia,GA,5281762,5540828,11180878,74664,90337
Hawaii,HI,727473,718162,1446146,98317,115643
Idaho,ID,952080,941216,2001619,74636,89174
Illinois,IL,6270399,6422254,12710158,81702,103504
Indiana,IN,3377011,3434741,6924275,70051,88451
Iowa,IA,1601453,1594484,3241488,73147,94472
Kansas,KS,1473655,1463914,2970606,72639,93497
Kentucky,KY,2233870,2276855,4588372,62417,79436
Louisiana,LA,2262822,2358203,4597740,60023,77568
Maine,ME,678363,699037,1405012,71773,93307
Maryland,MD,3002079,3168659,6263220,101652,124487
Massachusetts,MA,3416765,3575630,7136171,101341,128134
Michigan,MI,4982079,5069516,10140459,71149,90947
Minnesota,MN,2862134,2851582,5793151,87556,111492
Mississippi,MS,1431521,1519917,2943045,54915,70821
Missouri,MO,3040690,3127491,6245466,68920,88759
Montana,MT,560035,545037,1137233,69922,88127
Nebraska,NE,987506,978420,2005465,74985,96902
Nevada,NV,1582476,1558524,3267467,75561,89735
New Hampshire,NH,692568,695266,1409032,95628,118736
New Jersey,NJ,4558671,4708343,9500851,101050,123892
New Mexico,NM,1050368,1064400,2130256,62125,76143
New York,NY,9702417,10169902,19867248,84578,105060
North Carolina,NC,5177887,5406453,11046024,69904,86947
North Dakota,ND,399126,380235,796568,75949,103383
Ohio,OH,5809077,5970969,11883304,69680,90288
Oklahoma,OK,1988686,2006574,4095393,63603,80611
Oregon,OR,2113849,2124865,4272371,80426,98832
Pennsylvania,PA,6400912,6585606,13078751,76081,97349
Rhode Island,RI,537173,558198,1112308,86372,109979
South Carolina,SC,2537456,2675318,5478831,66818,83579
South Dakota,SD,455597,443597,924669,72421,93579
Tennessee,TN,3428050,3558032,7227750,67097,84212
Texas,TX,14789987,14850356,31290831,76292,91752
Utah,UT,1686562,1644625,3503613,91750,105513
Vermont,VT,320321,324933,648493,78024,102104
Virginia,VA,4278490,4379009,8811195,90974,112146
Washington,WA,3898212,3842772,7958180,94952,114068
West Virginia,WV,890156,894306,1769979,57917,74981
Wisconsin,WI,2950540,2941483,5960975,75670,97261
Wyoming,WY,296646,283115,587618,74815,95206
Puerto Rico,PR,1540987,1713898,3203295,25096,30876
